Materials,Comminication  Services,Consumer Discretionary,Consumer Defense,Energy,Financial,Healthcare,Industrials,Real Estate,Technology,Utilities
ALB,ATVI,AAP,ADM,APA,AFL,A,AAL,AMT,AAPL,AEE
APD,CHTR,AMCR,BF-B,BKR,AIG,ABBV,ADP,ARE,ACN,AEP
CE,CMCSA,AMZN,CAG,COG,AIZ,ABC,ALK,AVB,ADBE,AES
CF,DIS,APTV,CHD,COP,AJG,ABMD,ALLE,BXP,ADI,ATO
CTVA,DISCA,AZO,CL,CVX,ALL,ABT,AME,CBRE,ADSK,AWK
DD,DISCK,BBY,CLX,DVN,AMP,ALGN,AOS,CCI,AKAM,CMS
DOW,DISH,BKNG,COST,EOG,AON,ALXN,AVY,DLR,AMAT,CNP
ECL,EA,BLL,CPB,FANG,AXP,AMGN,BA,DRE,AMD,D
EMN,FB,BWA,DG,FTI,BAC,ANTM,CARR,EQIX,ANET,DTE
FCX,FOX,CCL,DLTR,HAL,BEN,BAX,CAT,EQR,ANSS,DUK
FMC,FOXA,CMG,EL,HES,BK,BDX,CHRW,ESS,APH,ED
IFF,GOOG,DHI,GIS,HFC,BLK,BIIB,CMI,EXR,AVGO,EIX
LIN,GOOGL,DPZ,HRL,KMI,BRK-B,BIO,CPRT,FRT,BR,ES
LYB,IPG,DRI,HSY,MPC,C,BMY,CSX,HST,CDNS,ETR
MLM,LUMN,EBAY,K,MRO,CB,BSX,CTAS,IRM,CDW,EVRG
MOS,LYV,ETSY,KHC,NOV,CBOE,CAH,DAL,KIM,CRM,EXC
NEM,NFLX,EXPE,KMB,OKE,CFG,CERN,DE,MAA,CSCO,FE
NUE,NWS,F,KO,OXY,CINF,CI,DOV,O,CTSH,LNT
PPG,NWSA,FBHS,KR,PSX,CMA,CNC,EFX,PEAK,CTXS,NEE
SHW,OMC,GM,LW,PXD,CME,COO,EMR,PLD,DXC,NI
,,,,,,,,,,
